0000024E, CurrentBusLV, 0.0
0000024E, PowerBusLV, 0
0000024E, TCTorqueMax, 3.392
0000024E, TCLeftSlip, -0.999
0000024E, TCRightSlip, -0.999
0000024E, TCTorqueAdjustment, 0.0
0000024E, ChannelCurrentRadiator, 0.201
0000024E, ChannelCurrentAccFan, 0.201
0000024E, ChannelCurrentPump1, 0.0
0000024E, ChannelCurrentPump2, 0.214
0000024E, ChannelCurrentAUX1, 0.0
0000024E, ChannelCurrentAUX2, 0.201
0000024E, ChannelCurrentAUX3, 0.0
0000024E, ChannelCurrentAUX4, 0.214
0000024E, ChannelCurrentBMU, 0.214
0000024E, ChannelCurrentCDU, 0.375
0000024E, ChannelCurrentTCU, 0.34900000000000003
0000024E, ChannelCurrentWSB, 0.41600000000000004
00000250, ChannelCurrentBrakeLight, 0.0
00000250, ChannelCurrentInverter, 0.0
00000250, ThrottlePercent, 0
00000250, BrakePercent, 9
00000250, brakePressure, 10
00000250, SteeringAngle, -69
00000250, BrakeWhileThrottle, 0
00000250, VCU_wheelSpeed_RL, 0.0
00000250, VCU_wheelSpeed_RR, 0.0
00000250, RLSpeedKPH, 0.0
00000250, RRSpeedKPH, 0.0
00000250, FLSpeedKPH, 0.0
00000250, FRSpeedKPH, 0.0
00000250, TCTorqueMax, 3.392
00000250, TCLeftSlip, -0.999
00000250, TCRightSlip, -0.999
00000250, TCTorqueAdjustment, 0.0
00000280, VCU_wheelSpeed_RL, 0.0
00000280, VCU_wheelSpeed_RR, 0.0
00000280, RLSpeedKPH, 0.0
00000280, RRSpeedKPH, 0.0
00000280, FLSpeedKPH, 0.0
00000280, FRSpeedKPH, 0.0
00000280, TCTorqueMax, 3.392
00000280, TCLeftSlip, -0.999
00000280, TCRightSlip, -0.999
00000280, TCTorqueAdjustment, 0.0
00000280, ThrottlePercent, 0
00000280, BrakePercent, 9
00000280, brakePressure, 10
00000280, SteeringAngle, -69
00000280, BrakeWhileThrottle, 0
000002B2, VCU_wheelSpeed_RL, 0.0
000002B2, VCU_wheelSpeed_RR, 0.0
000002B2, RLSpeedKPH, 0.0
000002B2, RRSpeedKPH, 0.0
000002B2, FLSpeedKPH, 0.0
000002B2, FRSpeedKPH, 0.0
000002B2, TCTorqueMax, 3.392
000002B2, TCLeftSlip, -0.999
000002B2, TCRightSlip, -0.999
000002B2, TCTorqueAdjustment, 0.0
000002B2, ChannelCurrentRadiator, 0.161
000002B2, ChannelCurrentAccFan, 0.187
000002B2, ChannelCurrentPump1, 0.0
000002B2, ChannelCurrentPump2, 0.214
000002B2, ChannelCurrentAUX1, 0.0
000002B2, ChannelCurrentAUX2, 0.214
000002B2, ChannelCurrentAUX3, 0.0
000002B2, ChannelCurrentAUX4, 0.214
000002B2, ChannelCurrentBMU, 0.214
000002B2, ChannelCurrentCDU, 0.389
000002B2, ChannelCurrentTCU, 0.34900000000000003
000002B2, ChannelCurrentWSB, 0.41600000000000004
000002B4, ChannelCurrentBrakeLight, 0.0
000002B4, ChannelCurrentInverter, 0.0
000002B4, ThrottlePercent, 0
000002B4, BrakePercent, 9
000002B4, brakePressure, 10
000002B4, SteeringAngle, -69
000002B4, BrakeWhileThrottle, 0
000002B4, VCU_wheelSpeed_RL, 0.0
000002B4, VCU_wheelSpeed_RR, 0.0
000002B4, RLSpeedKPH, 0.0
000002B4, RRSpeedKPH, 0.0
000002B4, FLSpeedKPH, 0.0
000002B4, FRSpeedKPH, 0.0
000002E4, TCTorqueMax, 3.392
000002E4, TCLeftSlip, -0.999
000002E4, TCRightSlip, -0.999
000002E4, TCTorqueAdjustment, 0.0
000002E4, ThrottlePercent, 0
000002E4, BrakePercent, 10
000002E4, brakePressure, 10
000002E4, SteeringAngle, -69
000002E4, BrakeWhileThrottle, 0
000002E4, VCU_wheelSpeed_RL, 0.0
000002E4, VCU_wheelSpeed_RR, 0.0
000002E4, RLSpeedKPH, 0.0
000002E4, RRSpeedKPH, 0.0
000002E4, FLSpeedKPH, 0.0
000002E4, FRSpeedKPH, 0.0
000002E4, TCTorqueMax, 3.392
000002E4, TCLeftSlip, -0.999
000002E4, TCRightSlip, -0.999
000002E4, TCTorqueAdjustment, 0.0
00000316, VCU_wheelSpeed_RL, 0.0
00000316, VCU_wheelSpeed_RR, 0.0
00000316, RLSpeedKPH, 0.0
00000316, RRSpeedKPH, 0.0
00000316, FLSpeedKPH, 0.0
00000316, FRSpeedKPH, 0.0
00000316, TCTorqueMax, 3.392
00000316, TCLeftSlip, -0.999
00000316, TCRightSlip, -0.999
00000316, TCTorqueAdjustment, 0.0
00000316, ChannelCurrentRadiator, 0.161
00000316, ChannelCurrentAccFan, 0.214
00000316, ChannelCurrentPump1, 0.0
00000316, ChannelCurrentPump2, 0.214
00000316, ChannelCurrentAUX1, 0.0
00000316, ChannelCurrentAUX2, 0.214
00000316, ChannelCurrentAUX3, 0.0
00000316, ChannelCurrentAUX4, 0.201
00000316, ChannelCurrentBMU, 0.214
00000316, ChannelCurrentCDU, 0.389
00000316, ChannelCurrentTCU, 0.362
00000316, ChannelCurrentWSB, 0.389
00000318, ChannelCurrentBrakeLight, 0.0
00000318, ChannelCurrentInverter, 0.0
00000318, ThrottlePercent, 0
00000318, BrakePercent, 9
00000318, brakePressure, 10
00000318, SteeringAngle, -69
00000318, BrakeWhileThrottle, 0
00000348, VCU_wheelSpeed_RL, 0.0
00000348, VCU_wheelSpeed_RR, 0.0
00000348, RLSpeedKPH, 0.0
00000348, RRSpeedKPH, 0.0
00000348, FLSpeedKPH, 0.0
00000348, FRSpeedKPH, 0.0
00000348, TCTorqueMax, 3.392
00000348, TCLeftSlip, -0.999
00000348, TCRightSlip, -0.999
00000348, TCTorqueAdjustment, 0.0
00000348, ThrottlePercent, 0
00000348, BrakePercent, 10
00000348, brakePressure, 10
00000348, SteeringAngle, -69
00000348, BrakeWhileThrottle, 0
00000348, VCU_wheelSpeed_RL, 0.0
00000348, VCU_wheelSpeed_RR, 0.0
00000348, RLSpeedKPH, 0.0
00000348, RRSpeedKPH, 0.0
00000348, FLSpeedKPH, 0.0
00000348, FRSpeedKPH, 0.0
00000348, TCTorqueMax, 3.392
00000348, TCLeftSlip, -0.999
00000348, TCRightSlip, -0.999
00000348, TCTorqueAdjustment, 0.0
0000037A, VCU_wheelSpeed_RL, 0.0
0000037A, VCU_wheelSpeed_RR, 0.0
0000037A, RLSpeedKPH, 0.0
0000037A, RRSpeedKPH, 0.0
0000037A, FLSpeedKPH, 0.0
0000037A, FRSpeedKPH, 0.0
0000037A, ChannelCurrentRadiator, 0.214
0000037A, ChannelCurrentAccFan, 0.214
0000037A, ChannelCurrentPump1, 0.0
0000037A, ChannelCurrentPump2, 0.214
0000037A, ChannelCurrentAUX1, 0.0
0000037A, ChannelCurrentAUX2, 0.214
0000037A, ChannelCurrentAUX3, 0.0
0000037A, ChannelCurrentAUX4, 0.201
0000037A, ChannelCurrentBMU, 0.17400000000000002
0000037A, ChannelCurrentCDU, 0.389
0000037A, ChannelCurrentTCU, 0.335
0000037A, ChannelCurrentWSB, 0.46900000000000003
0000037C, ChannelCurrentBrakeLight, 0.0
0000037C, ChannelCurrentInverter, 0.0
0000037C, TCTorqueMax, 3.392
0000037C, TCLeftSlip, -0.999
0000037C, TCRightSlip, -0.999
0000037C, TCTorqueAdjustment, 0.0
0000037C, ThrottlePercent, 0
0000037C, BrakePercent, 9
0000037C, brakePressure, 10
0000037C, SteeringAngle, -69
0000037C, BrakeWhileThrottle, 0
000003AC, VCU_wheelSpeed_RL, 0.0
000003AC, VCU_wheelSpeed_RR, 0.0
000003AC, RLSpeedKPH, 0.0
000003AC, RRSpeedKPH, 0.0
000003AC, FLSpeedKPH, 0.0
000003AC, FRSpeedKPH, 0.0
000003AC, TCTorqueMax, 3.392
000003AC, TCLeftSlip, -0.999
000003AC, TCRightSlip, -0.999
000003AC, TCTorqueAdjustment, 0.0
000003AC, ThrottlePercent, 0
000003AC, BrakePercent, 10
000003AC, brakePressure, 10
000003AC, SteeringAngle, -69
000003AC, BrakeWhileThrottle, 0
000003AC, VCU_wheelSpeed_RL, 0.0
000003AC, VCU_wheelSpeed_RR, 0.0
000003AC, RLSpeedKPH, 0.0
000003AC, RRSpeedKPH, 0.0
000003AC, FLSpeedKPH, 0.0
000003AC, FRSpeedKPH, 0.0
000003AC, TCTorqueMax, 3.392
000003AC, TCLeftSlip, -0.999
