00000144, AdjustedVoltageCell24, 3.7256
00000148, TempChannelMuxSelect, 7
00000148, TempChannel22, 0.0
00000148, TempChannel23, 0.0
00000148, TempChannel24, 0.0
0000015A, VCU_wheelSpeed_RL, 0.0
0000015A, VCU_wheelSpeed_RR, 0.0
0000015C, RLSpeedKPH, 0.0
0000015C, RRSpeedKPH, 0.0
0000015C, FLSpeedKPH, 0.0
0000015C, FRSpeedKPH, 0.0
0000015E, TCTorqueMax, 3.392
0000015E, TCLeftSlip, -0.999
0000015E, TCRightSlip, -0.999
0000015E, TCTorqueAdjustment, 0.0
0000017D, VCU_wheelSpeed_RL, 0.0
0000017D, VCU_wheelSpeed_RR, 0.0
0000017F, VoltageBusHV, 0.03
0000017F, VoltageCellMax, 3.9130000000000003
0000017F, VoltageCellMin, 3.6941
0000017F, CurrentBusHV, 0.0
0000017F, RLSpeedKPH, 0.0
0000017F, RRSpeedKPH, 0.0
0000017F, FLSpeedKPH, 0.0
0000017F, FRSpeedKPH, 0.0
00000181, AMS_PackVoltage, 525.58
00000181, TCTorqueMax, 3.392
00000181, TCLeftSlip, -0.999
00000181, TCRightSlip, -0.999
00000181, TCTorqueAdjustment, 0.0
00000189, StateBatteryChargeHV, 92.80000000000001
00000189, StateBatteryHealthHV, 0.0
00000189, StateBatteryPowerHV, 331.90000000000003
00000189, TempCellMax, 156.0
00000189, TempCellMin, 55.0
00000189, StateBMS, Wait_System_Up
0000018A, VoltageCellMuxSelect, 8
0000018A, VoltageCell25, 3.7784
0000018A, VoltageCell26, 3.729
0000018A, VoltageCell27, 3.6949
0000018C, AdjustedVoltageCellMuxSelect, 8
0000018C, AdjustedVoltageCell25, 3.7785
0000018C, AdjustedVoltageCell26, 3.729
0000018C, AdjustedVoltageCell27, 3.6941
0000018E, TempChannelMuxSelect, 8
0000018E, TempChannel25, 0.0
0000018E, TempChannel26, 0.0
0000018E, TempChannel27, 0.0
000001A0, VCU_wheelSpeed_RL, 0.0
000001A0, VCU_wheelSpeed_RR, 0.0
000001A2, RLSpeedKPH, 0.0
000001A2, RRSpeedKPH, 0.0
000001A2, FLSpeedKPH, 0.0
000001A2, FRSpeedKPH, 0.0
000001A4, TCTorqueMax, 3.392
000001A4, TCLeftSlip, -0.999
000001A4, TCRightSlip, -0.999
000001A4, TCTorqueAdjustment, 0.0
000001A6, VoltageCellMuxSelect, 9
000001A6, VoltageCell28, 3.8046
000001A6, VoltageCell29, 3.7733000000000003
000001A6, VoltageCell30, 3.7721
000001A8, AdjustedVoltageCellMuxSelect, 9
000001A8, AdjustedVoltageCell28, 3.8052
000001A8, AdjustedVoltageCell29, 3.7732
000001A8, AdjustedVoltageCell30, 3.7720000000000002
000001AA, TempChannelMuxSelect, 9
000001AA, TempChannel28, 21.409999999999997
000001AA, TempChannel29, 21.379999999999995
000001AA, TempChannel30, 21.439999999999998
000001C3, VCU_wheelSpeed_RL, 0.0
000001C3, VCU_wheelSpeed_RR, 0.0
000001C5, RLSpeedKPH, 0.0
000001C5, RRSpeedKPH, 0.0
000001C5, FLSpeedKPH, 0.0
000001C5, FRSpeedKPH, 0.0
000001C7, TCTorqueMax, 3.392
000001C7, TCLeftSlip, -0.999
000001C7, TCRightSlip, -0.999
000001C7, TCTorqueAdjustment, 0.0
000001D8, VoltageCellMuxSelect, 10
000001D8, VoltageCell31, 3.7699000000000003
000001D8, VoltageCell32, 3.7262
000001D8, VoltageCell33, 3.7248
000001DB, AdjustedVoltageCellMuxSelect, 10
000001DB, AdjustedVoltageCell31, 3.7695000000000003
000001DB, AdjustedVoltageCell32, 3.7261
000001DB, AdjustedVoltageCell33, 3.7248
000001DD, TempChannelMuxSelect, 10
000001DD, TempChannel31, 0.0
000001DD, TempChannel32, 0.0
000001DD, TempChannel33, 0.0
000001E6, VoltageBusHV, 0.0
000001E6, VoltageCellMax, 3.9129
000001E6, VoltageCellMin, 3.6941
000001E6, CurrentBusHV, 0.0
000001E6, VCU_wheelSpeed_RL, 0.0
000001E6, VCU_wheelSpeed_RR, 0.0
000001E8, AMS_PackVoltage, 525.58
000001E8, RLSpeedKPH, 0.0
000001E8, RRSpeedKPH, 0.0
000001E8, FLSpeedKPH, 0.0
000001E8, FRSpeedKPH, 0.0
000001EA, TCTorqueMax, 3.392
000001EA, TCLeftSlip, -0.999
000001EA, TCRightSlip, -0.999
000001EA, TCTorqueAdjustment, 0.0
000001F0, ThrottlePercent, 0
000001F0, BrakePercent, 8
000001F0, brakePressure, 10
000001F0, SteeringAngle, -102
000001F0, BrakeWhileThrottle, 0
000001F6, StateBatteryChargeHV, 92.80000000000001
000001F6, StateBatteryHealthHV, 0.0
000001F6, StateBatteryPowerHV, 331.90000000000003
000001F6, TempCellMax, 156.0
000001F6, TempCellMin, 55.0
000001F6, StateBMS, Wait_System_Up
00000209, VCU_wheelSpeed_RL, 0.0
00000209, VCU_wheelSpeed_RR, 0.0
0000020A, VoltageBusLV, 12143
0000020A, CurrentBusLV, 381
0000020B, RLSpeedKPH, 0.0
0000020B, RRSpeedKPH, 0.0
0000020B, FLSpeedKPH, 0.0
0000020B, FRSpeedKPH, 0.0
0000020C, VoltageCellMuxSelect, 11
0000020C, VoltageCell34, 3.7253000000000003
0000020C, VoltageCell35, 3.7256
0000020C, VoltageCell36, 3.7288
0000020D, TCTorqueMax, 3.392
0000020D, TCLeftSlip, -0.999
0000020D, TCRightSlip, -0.999
0000020D, TCTorqueAdjustment, 0.0
0000020E, AdjustedVoltageCellMuxSelect, 11
0000020E, AdjustedVoltageCell34, 3.7252
0000020E, AdjustedVoltageCell35, 3.7256
0000020E, AdjustedVoltageCell36, 3.7288
00000212, TempChannelMuxSelect, 11
00000212, TempChannel34, 0.0
00000212, TempChannel35, 0.0
00000212, TempChannel36, 0.0
00000222, ThrottlePercent, 0
00000222, BrakePercent, 12
00000222, brakePressure, 10
00000222, SteeringAngle, -102
00000222, BrakeWhileThrottle, 0
0000022C, VCU_wheelSpeed_RL, 0.0
0000022C, VCU_wheelSpeed_RR, 0.0
0000022E, RLSpeedKPH, 0.0
0000022E, RRSpeedKPH, 0.0
0000022E, FLSpeedKPH, 0.0
0000022E, FRSpeedKPH, 0.0
00000230, TCTorqueMax, 3.392
00000230, TCLeftSlip, -0.999
00000230, TCRightSlip, -0.999
00000230, TCTorqueAdjustment, 0.0
0000023C, VoltageCellMuxSelect, 12
0000023C, VoltageCell37, 3.7150000000000003
0000023C, VoltageCell38, 3.7822
0000023C, VoltageCell39, 3.7720000000000002
00000261, AdjustedVoltageCellMuxSelect, 12
00000261, AdjustedVoltageCell37, 3.7147
00000261, AdjustedVoltageCell38, 3.7824
00000261, AdjustedVoltageCell39, 3.7721
00000261, TempChannelMuxSelect, 12
00000261, TempChannel37, 0.0
00000261, TempChannel38, 0.0
00000261, TempChannel39, 0.0
00000261, VoltageBusHV, 0.04
00000261, VoltageCellMax, 3.9129
00000261, VoltageCellMin, 3.6942000000000004
00000261, CurrentBusHV, 0.0
00000261, VCU_wheelSpeed_RL, 0.0
00000261, VCU_wheelSpeed_RR, 0.0
00000262, AMS_PackVoltage, 525.58
00000262, RLSpeedKPH, 0.0
00000262, RRSpeedKPH, 0.0
00000262, FLSpeedKPH, 0.0
00000262, FRSpeedKPH, 0.0
00000262, TCTorqueMax, 3.392
00000262, TCLeftSlip, -0.999
00000262, TCRightSlip, -0.999
00000262, TCTorqueAdjustment, 0.0
00000262, ThrottlePercent, 0
00000262, BrakePercent, 6
00000262, brakePressure, 10
00000262, SteeringAngle, -102
00000262, BrakeWhileThrottle, 0
00000263, StateBatteryChargeHV, 92.80000000000001
00000263, StateBatteryHealthHV, 0.0
00000263, StateBatteryPowerHV, 331.90000000000003
00000263, TempCellMax, 156.0
00000263, TempCellMin, 55.0
00000263, StateBMS, Wait_System_Up
0000026E, VoltageCellMuxSelect, 13
0000026E, VoltageCell40, 3.7732
0000026E, VoltageCell41, 3.7922000000000002
0000026E, VoltageCell42, 3.8232000000000004
00000270, AdjustedVoltageCellMuxSelect, 13
00000270, AdjustedVoltageCell40, 3.7733000000000003
00000270, AdjustedVoltageCell41, 3.7920000000000003
00000270, AdjustedVoltageCell42, 3.8231
00000272, VCU_wheelSpeed_RL, 0.0
00000272, VCU_wheelSpeed_RR, 0.0
00000273, TempChannelMuxSelect, 13
00000273, TempChannel40, 0.0
00000273, TempChannel41, 0.0
00000273, TempChannel42, 21.570000000000007
00000274, RLSpeedKPH, 0.0
00000274, RRSpeedKPH, 0.0
00000274, FLSpeedKPH, 0.0
00000274, FRSpeedKPH, 0.0
00000276, TCTorqueMax, 3.392
00000276, TCLeftSlip, -0.999
00000276, TCRightSlip, -0.999
00000276, TCTorqueAdjustment, 0.0
00000286, ThrottlePercent, 0
00000286, BrakePercent, 5
00000286, brakePressure, 10
00000286, SteeringAngle, -102
00000286, BrakeWhileThrottle, 0
00000295, VCU_wheelSpeed_RL, 0.0
00000295, VCU_wheelSpeed_RR, 0.0
00000297, RLSpeedKPH, 0.0
00000297, RRSpeedKPH, 0.0
00000297, FLSpeedKPH, 0.0
00000297, FRSpeedKPH, 0.0
00000299, TCTorqueMax, 3.392
00000299, TCLeftSlip, -0.999
00000299, TCRightSlip, -0.999
00000299, TCTorqueAdjustment, 0.0
000002A0, VoltageCellMuxSelect, 14
000002A0, VoltageCell43, 3.8241
000002A0, VoltageCell44, 3.8222
000002A0, VoltageCell45, 3.8243
000002A3, AdjustedVoltageCellMuxSelect, 14
000002A3, AdjustedVoltageCell43, 3.8240000000000003
000002A3, AdjustedVoltageCell44, 3.8221000000000003
000002A3, AdjustedVoltageCell45, 3.8243
000002A5, TempChannelMuxSelect, 14
000002A5, TempChannel43, 21.480000000000004
000002A5, TempChannel44, 21.409999999999997
000002A5, TempChannel45, 21.540000000000006
000002B5, VoltageBusHV, 0.04
000002B5, VoltageCellMax, 3.9129
000002B5, VoltageCellMin, 3.6942000000000004
000002B5, CurrentBusHV, 0.0
000002B6, AMS_PackVoltage, 525.58
000002B8, ThrottlePercent, 0
000002B8, BrakePercent, 9
000002B8, brakePressure, 10
000002B8, SteeringAngle, -102
000002B8, BrakeWhileThrottle, 0
000002B8, VCU_wheelSpeed_RL, 0.0
000002B8, VCU_wheelSpeed_RR, 0.0
000002BA, RLSpeedKPH, 0.0
000002BA, RRSpeedKPH, 0.0
000002BA, FLSpeedKPH, 0.0
000002BA, FRSpeedKPH, 0.0
000002BC, TCTorqueMax, 3.392
000002BC, TCLeftSlip, -0.999
000002BC, TCRightSlip, -0.999
000002BC, TCTorqueAdjustment, 0.0
000002D1, StateBatteryChargeHV, 92.80000000000001
000002D1, StateBatteryHealthHV, 0.0
000002D1, StateBatteryPowerHV, 331.90000000000003
000002D1, TempCellMax, 156.0
000002D1, TempCellMin, 55.0
000002D1, StateBMS, Wait_System_Up
000002D3, VoltageCellMuxSelect, 15
000002D3, VoltageCell46, 3.8264
000002D3, VoltageCell47, 3.7937000000000003
000002D3, VoltageCell48, 3.9129
000002D4, AdjustedVoltageCellMuxSelect, 15
000002D4, AdjustedVoltageCell46, 3.8264
000002D4, AdjustedVoltageCell47, 3.7936
000002D4, AdjustedVoltageCell48, 3.9130000000000003
000002D6, TempChannelMuxSelect, 15
000002D6, TempChannel46, 21.310000000000002
000002D6, TempChannel47, 21.379999999999995
000002D6, TempChannel48, 0.0
000002DB, VCU_wheelSpeed_RL, 0.0
000002DB, VCU_wheelSpeed_RR, 0.0
000002DD, RLSpeedKPH, 0.0
000002DD, RRSpeedKPH, 0.0
000002DD, FLSpeedKPH, 0.0
000002DD, FRSpeedKPH, 0.0
000002DF, TCTorqueMax, 3.392
000002DF, TCLeftSlip, -0.999
000002DF, TCRightSlip, -0.999
000002DF, TCTorqueAdjustment, 0.0
000002EA, ThrottlePercent, 0
000002EA, BrakePercent, 8
000002EA, brakePressure, 10
000002EA, SteeringAngle, -102
000002EA, BrakeWhileThrottle, 0
000002FE, VCU_wheelSpeed_RL, 0.0
000002FE, VCU_wheelSpeed_RR, 0.0
00000300, RLSpeedKPH, 0.0
00000300, RRSpeedKPH, 0.0
00000300, FLSpeedKPH, 0.0
00000300, FRSpeedKPH, 0.0
00000302, TCTorqueMax, 3.392
00000302, TCLeftSlip, -0.999
00000302, TCRightSlip, -0.999
00000302, TCTorqueAdjustment, 0.0
00000304, VoltageCellMuxSelect, 16
00000304, VoltageCell49, 3.8834000000000004
00000304, VoltageCell50, 3.8809
00000304, VoltageCell51, 3.7896
00000309, AdjustedVoltageCellMuxSelect, 16
00000309, AdjustedVoltageCell49, 3.8832
00000309, AdjustedVoltageCell50, 3.8809
00000309, AdjustedVoltageCell51, 3.7889000000000004
0000030B, TempChannelMuxSelect, 16
0000030B, TempChannel49, 0.0
0000030B, TempChannel50, 0.0
0000030B, TempChannel51, 0.0
0000031C, VoltageBusHV, 0.02
0000031C, VoltageCellMax, 3.9129
0000031C, VoltageCellMin, 3.6943
0000031C, CurrentBusHV, 0.0
0000031C, ThrottlePercent, 0
